Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Firmware, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex, DJIDiagnosticError, Focal Length (m)
 40.0403246, -105.5691694, 0.000, 15:08:31.639, 13, 0.10, 0.08, 98, 0.500, 2.200, -72.800, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655311.639, 62, 100, 1024, 1024, 1024, 1024, 0, Matrice 100, 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4104, -89.900, 0.000, -77.000, 0.000, 0.100, -0.100, 0.0, MapPilot_4.0.8_100120193, Dendroctonus I, 1.3.1.00, 041DDC1887, 03.10.00.00, 1058171200162, 93, Landed / OBSDK - Set Image Spacing to 630 cm / OBSDK - Set Imaging State / OBSDK - Get Image Spacing / OBSDK - Get Imaging State / FlightID: 86C738B5-62E6-4F16-B3E1-1371484C0D25 / MissionID: B8D63E49-B160-40A6-9F9E-1794A38F0C83 / Photo / DJI_0732.jpg, Imaging Interval: 2s - Adjusted Speed: 3.15 m/s / Starting Mission from Lat/Long: 40.04033/-105.56917 Camera: Zenmuse X3 - Overlap: 95/90 - Active Connection: No -  Terrain: SRTM, 39, 39, 39, Please check the aircraft’s status / Aircraft GPS Error / No Image Transmission Signal / Signal Lost. Aircraft Out of Control / IMU is initializing. Do not move the aircraft until initialization is complete,0.0036100
 40.0403246, -105.5691691, 0.000, 15:08:31.739, 13, 0.20, 0.10, 98, -0.200, 1.200, -72.500, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655311.739, 70, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4204, -90.000, 0.000, -76.800, 0.000, 0.200, -0.200, 0.1, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403245, -105.5691686, 0.000, 15:08:31.839, 13, 0.20, 0.14, 98, -0.300, -1.100, -72.300, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655311.839, 44, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4304, -89.900, 0.000, -76.500, 0.000, 0.200, -0.400, 0.1, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403245, -105.5691683, 0.100, 15:08:31.938, 15, 0.10, 0.16, 98, -0.400, -1.200, -72.500, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655311.939, 42, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4403, -89.900, 0.000, -76.400, 0.000, 0.100, -0.500, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403244, -105.5691681, 0.100, 15:08:32.038, 15, 0.10, 0.18, 98, -0.400, -1.100, -72.800, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655312.039, 41, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4503, -89.900, 0.000, -76.300, 0.000, 0.100, -0.600, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403244, -105.5691680, 0.200, 15:08:32.139, 14, 0.10, 0.19, 98, 0.000, -1.000, -73.200, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655312.139, 43, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4604, -89.900, 0.000, -76.200, 0.000, 0.100, -0.600, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403244, -105.5691679, 0.300, 15:08:32.239, 14, 0.10, 0.21, 98, 0.300, -0.400, -73.400, 733, --, 100, 17, 25126, -3239, 5027, 5130, 30, 11, 1570655312.240, 41, 100, 1024, 1024, 1024, 1024, 0, , 4175, 4186, 4151, 4154, 4147, 4149, 0, 1, 4704, -89.900, 0.000, -76.100, 0.000, 0.100, -0.500, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403243, -105.5691677, 0.300, 15:08:32.339, 14, 0.00, 0.22, 98, 0.300, -0.200, -73.500, 733, --, 100, 17, 23500, -10739, 5027, 5130, 30, 11, 1570655312.339, 40, 100, 1024, 1024, 1024, 1024, 0, , 3898, 3919, 3927, 3917, 3852, 3863, 0, 1, 4804, -89.900, 0.000, -76.000, 0.000, 0.000, -0.400, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403243, -105.5691676, 0.400, 15:08:32.438, 14, 0.00, 0.23, 98, 0.300, -0.400, -73.600, 733, --, 100, 17, 23500, -10739, 5027, 5130, 30, 11, 1570655312.439, 40, 100, 1024, 1024, 1024, 1024, 0, , 3898, 3919, 3927, 3917, 3852, 3863, 0, 1, 4903, -89.900, 0.000, -75.900, 0.000, 0.000, -0.400, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
 40.0403242, -105.5691675, 0.500, 15:08:32.539, 13, 0.00, 0.24, 98, 0.400, -0.700, -73.600, 733, --, 100, 17, 23500, -10739, 5027, 5130, 30, 11, 1570655312.540, 17, 100, 1024, 1024, 1024, 1024, 0, , 3898, 3919, 3927, 3917, 3852, 3863, 0, 1, 5004, -89.900, 0.000, -75.800, 0.000, 0.000, -0.400, 0.0, , , , , , , 93, , , 39, 39, 39, ,0.0036100
