Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Firmware, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex, DJIDiagnosticError, Focal Length (m)
 40.0403201, -105.5691747, 0.000, 14:48:11.451, 14, 0.36, 0.11, 100, 3.900, 2.000, -72.200, 370, --, 100, 18, 25129, -3744, 5282, 5282, 22, 11, 1570654091.451, 98, 100, 1024, 1024, 1024, 1024, 0, Matrice 100, 4198, 4174, 4165, 4186, 4200, 4184, 0, 1, 4105, -89.900, 0.000, -75.000, 0.200, 0.300, 0.000, 0.1, MapPilot_4.0.8_100120193, Dendroctonus I, 1.3.1.00, 041DDC1887, 03.10.00.00, 1058163200627, 95, Landed / OBSDK - Set Image Spacing to 630 cm / OBSDK - Set Imaging State / OBSDK - Get Image Spacing / OBSDK - Get Imaging State / FlightID: 33456333-6E23-467D-A49A-CF67F78E5762 / MissionID: B8D63E49-B160-40A6-9F9E-1794A38F0C83 / Photo / DJI_0369.jpg, Imaging Interval: 2s - Adjusted Speed: 3.15 m/s / Starting Mission from Lat/Long: 40.04032/-105.56917 Camera: Zenmuse X3 - Overlap: 95/90 - Active Connection: No -  Terrain: SRTM, 21, 21, 21, No Image Transmission Signal / Aircraft GPS Error / IMU is initializing. Do not move the aircraft until initialization is complete,0.0036100
 40.0403204, -105.5691743, 0.000, 14:48:11.551, 14, 0.36, 0.15, 100, 1.900, 0.600, -72.100, 370, --, 100, 18, 25129, -3744, 5282, 5282, 22, 11, 1570654091.551, 84, 100, 1024, 1024, 1024, 1024, 0, , 4198, 4174, 4165, 4186, 4200, 4184, 0, 1, 4205, -89.900, 0.000, -74.900, 0.200, 0.300, -0.200, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403207, -105.5691738, 0.000, 14:48:11.651, 14, 0.42, 0.20, 100, 0.400, -0.500, -72.100, 370, --, 100, 18, 25129, -3744, 5282, 5282, 22, 11, 1570654091.651, 80, 100, 1024, 1024, 1024, 1024, 0, , 4198, 4174, 4165, 4186, 4200, 4184, 0, 1, 4305, -89.900, 0.000, -74.900, 0.300, 0.300, -0.300, 0.1, , , , , , , 95, , , 21, 21, 21, No Image Transmission Signal / Aircraft GPS Error,0.0036100
 40.0403210, -105.5691734, 0.000, 14:48:11.751, 14, 0.42, 0.25, 100, -0.800, -1.200, -72.100, 370, --, 100, 18, 25129, -3744, 5282, 5282, 22, 11, 1570654091.751, 85, 100, 1024, 1024, 1024, 1024, 0, , 4198, 4174, 4165, 4186, 4200, 4184, 0, 1, 4405, -90.000, 0.000, -74.800, 0.300, 0.300, -0.300, 0.1, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403213, -105.5691731, 0.000, 14:48:11.851, 14, 0.36, 0.29, 100, -2.200, -1.500, -72.200, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654091.851, 89, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 4505, -89.900, 0.000, -74.800, 0.300, 0.200, -0.200, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403216, -105.5691728, 0.000, 14:48:11.951, 14, 0.36, 0.33, 100, -3.600, -1.400, -72.300, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654091.951, 78, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 4605, -89.900, 0.000, -74.700, 0.300, 0.200, -0.200, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403219, -105.5691727, 0.000, 14:48:12.051, 12, 0.22, 0.37, 100, -4.000, -1.300, -72.400, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.051, 77, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 4705, -89.900, 0.000, -74.600, 0.200, 0.100, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403222, -105.5691724, 0.100, 14:48:12.151, 12, 0.22, 0.40, 100, -3.800, -0.900, -72.500, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.151, 53, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 4805, -89.900, 0.000, -74.600, 0.200, 0.100, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403223, -105.5691722, 0.100, 14:48:12.251, 13, 0.14, 0.43, 100, -3.500, -0.600, -72.600, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.251, 64, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 4905, -89.900, 0.000, -74.600, 0.100, 0.100, -0.400, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403226, -105.5691720, 0.200, 14:48:12.351, 13, 0.00, 0.46, 100, -2.600, 0.000, -72.800, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.351, 66, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 5005, -89.900, 0.000, -74.500, 0.000, 0.000, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403227, -105.5691720, 0.300, 14:48:12.451, 13, 0.00, 0.48, 100, -1.800, 0.000, -72.800, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.451, 58, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 5105, -89.900, 0.000, -74.500, 0.000, 0.000, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403228, -105.5691719, 0.300, 14:48:12.551, 15, 0.00, 0.49, 100, -1.300, 0.000, -72.900, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.551, 31, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 5205, -89.900, 0.000, -74.400, 0.000, 0.000, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403229, -105.5691719, 0.300, 14:48:12.651, 15, 0.00, 0.50, 100, -1.100, 0.000, -73.000, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.651, 29, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 5305, -89.900, 0.000, -74.400, 0.000, 0.000, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403230, -105.5691718, 0.300, 14:48:12.751, 15, 0.00, 0.50, 100, -1.200, 0.000, -73.000, 370, --, 100, 18, 24154, -7974, 5282, 5282, 22, 11, 1570654092.751, 27, 100, 1024, 1024, 1024, 1024, 0, , 4017, 3996, 4033, 3975, 3986, 3967, 0, 1, 5405, -89.900, 0.000, -74.300, 0.000, 0.000, -0.300, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403230, -105.5691718, 0.400, 14:48:12.851, 15, 0.00, 0.51, 100, -1.200, 0.000, -72.900, 370, --, 100, 18, 22696, -17609, 5282, 5282, 22, 11, 1570654092.851, 30, 100, 1024, 1024, 1024, 1024, 0, , 3754, 3743, 3781, 3789, 3789, 3758, 0, 1, 5505, -89.900, 0.000, -74.300, 0.000, 0.000, -0.500, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403231, -105.5691719, 0.400, 14:48:12.951, 15, 0.00, 0.51, 100, -1.100, 0.100, -72.800, 370, --, 100, 18, 22696, -17609, 5282, 5282, 22, 11, 1570654092.951, 30, 100, 1024, 1024, 1024, 1024, 0, , 3754, 3743, 3781, 3789, 3789, 3758, 0, 1, 5605, -89.900, 0.000, -74.300, 0.000, 0.000, -0.500, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
 40.0403231, -105.5691719, 0.500, 14:48:13.052, 15, 0.00, 0.52, 100, -1.000, 0.200, -72.700, 370, --, 100, 18, 22696, -17609, 5282, 5282, 22, 11, 1570654093.052, 29, 100, 1024, 1017, 1024, 1024, 0, , 3754, 3743, 3781, 3789, 3789, 3758, 0, 1, 5706, -89.900, 0.000, -74.200, 0.000, 0.000, -0.500, 0.0, , , , , , , 95, , , 21, 21, 21, ,0.0036100
