Micasense RedEdge Camera Quantum Efficiency
Wavelength_nm,QE_percent
787.00,28.891
788.00,28.769
789.00,28.646
790.00,28.523
791.00,28.378
792.00,28.203
793.00,28.028
794.00,27.854
795.00,27.679
796.00,27.504
797.00,27.329
798.00,27.154
799.00,26.980
800.00,26.805
801.00,26.630
802.00,26.455
803.00,26.280
804.00,26.106
805.00,25.931
806.00,25.756
807.00,25.581
808.00,25.406
809.00,25.231
810.00,25.057
811.00,24.882
812.00,24.701
813.00,24.518
814.00,24.335
815.00,24.152
816.00,23.969
817.00,23.786
818.00,23.603
819.00,23.420
820.00,23.236
821.00,23.053
822.00,22.870
823.00,22.687
824.00,22.504
825.00,22.321
826.00,22.138
827.00,21.954
828.00,21.771
829.00,21.588
830.00,21.405
831.00,21.222
832.00,21.039
833.00,20.856
834.00,20.672
835.00,20.491
836.00,20.310
837.00,20.129
838.00,19.948
839.00,19.767
840.00,19.586
841.00,19.405
842.00,19.223
843.00,19.042
844.00,18.861
845.00,18.680
846.00,18.499
847.00,18.318
848.00,18.137
849.00,17.956
850.00,17.775
851.00,17.594
852.00,17.413
853.00,17.232
854.00,17.051
855.00,16.870
856.00,16.689
857.00,16.527
858.00,16.401
859.00,16.276
860.00,16.150
861.00,16.024
862.00,15.898
863.00,15.773
864.00,15.647
865.00,15.521
866.00,15.396
867.00,15.270
868.00,15.144
869.00,14.993
870.00,14.839
871.00,14.685
872.00,14.531
873.00,14.377
874.00,14.223
875.00,14.069
876.00,13.915
877.00,13.761
878.00,13.607
879.00,13.452
880.00,13.297
881.00,13.142
882.00,12.987
883.00,12.831
884.00,12.676
885.00,12.521
886.00,12.366
887.00,12.211
888.00,12.055
889.00,11.900
890.00,11.745
891.00,11.590
892.00,11.435
893.00,11.279
894.00,11.124
895.00,10.988
896.00,10.862
897.00,10.737
898.00,10.611
899.00,10.485
900.00,10.360
901.00,10.234
902.00,10.108
903.00, 9.982
904.00, 9.857
905.00, 9.731
906.00, 9.612
907.00, 9.520
908.00, 9.428
909.00, 9.336
910.00, 9.243
911.00, 9.151
912.00, 9.059
913.00, 8.967
914.00, 8.875
915.00, 8.782
916.00, 8.690
917.00, 8.598
918.00, 8.506
919.00, 8.413
920.00, 8.321
921.00, 8.229
922.00, 8.137
923.00, 8.044
924.00, 7.952
925.00, 7.860
926.00, 7.768
927.00, 7.676
928.00, 7.583
929.00, 7.491
930.00, 7.405
931.00, 7.324
932.00, 7.244
933.00, 7.164
934.00, 7.083
935.00, 6.997
936.00, 6.910
937.00, 6.822
938.00, 6.735
939.00, 6.648
940.00, 6.560
941.00, 6.473
942.00, 6.385
943.00, 6.298
944.00, 6.211
945.00, 6.123
946.00, 6.036
947.00, 5.948
948.00, 5.861
949.00, 5.774
950.00, 5.686
951.00, 5.599
952.00, 5.511
953.00, 5.424
954.00, 5.336
955.00, 5.250
956.00, 5.182
957.00, 5.113
958.00, 5.044
959.00, 4.976
960.00, 4.907
961.00, 4.838
962.00, 4.769
963.00, 4.701
964.00, 4.632
965.00, 4.563
966.00, 4.494
967.00, 4.426
968.00, 4.357
969.00, 4.288
970.00, 4.220
971.00, 4.151
972.00, 4.082
973.00, 4.013
974.00, 3.945
975.00, 3.876
976.00, 3.807
977.00, 3.739
978.00, 3.670
979.00, 3.601
980.00, 3.532
981.00, 3.464
982.00, 3.395
983.00, 3.326
984.00, 3.258
985.00, 3.189
986.00, 3.120
987.00, 3.051
988.00, 2.983
989.00, 2.914
990.00, 2.845
991.00, 2.777
992.00, 2.708
993.00, 2.661
994.00, 2.619
995.00, 2.577
996.00, 2.536
997.00, 2.494
998.00, 2.452
999.00, 2.411
1000.00, 2.369
1001.00, 2.327
1002.00, 2.286
1003.00, 2.244
1004.00, 2.202
1005.00, 2.161
1006.00, 2.119
1007.00, 2.077
1008.00, 2.036
1009.00, 1.994
1010.00, 1.952
1011.00, 1.911
1012.00, 1.869
1013.00, 1.827
1014.00, 1.786
1015.00, 1.747
1016.00, 1.715
1017.00, 1.684
1018.00, 1.652
1019.00, 1.620
1020.00, 1.588
1021.00, 1.556
1022.00, 1.524
1023.00, 1.492
1024.00, 1.461
