"wavelength_nm","band","transmission","qe_pct","qe","spectral_response","band_fullname","relative_spectral_response"
378,"green",0.0218305298694639,NA,NA,NA,"green",NA
378,"red",0.0148926479742863,NA,NA,NA,"red",NA
378,"re",0.0213927435813772,NA,NA,NA,"red edge",NA
378,"nir",0.00349609457668728,NA,NA,NA,"near infrared",NA
379,"blue",0.00767210605150809,NA,NA,NA,"blue",NA
379,"green",0.0231928177080646,NA,NA,NA,"green",NA
379,"red",0.0196921275434015,NA,NA,NA,"red",NA
379,"re",0.0131438085880112,NA,NA,NA,"red edge",NA
379,"nir",0.00292933012684008,NA,NA,NA,"near infrared",NA
380,"blue",0.0066434112563128,NA,NA,NA,"blue",NA
380,"green",0.012723852927791,NA,NA,NA,"green",NA
380,"red",0.014264751795192,NA,NA,NA,"red",NA
380,"re",0.0190950224830401,NA,NA,NA,"red edge",NA
380,"nir",0.00341796450218906,NA,NA,NA,"near infrared",NA
381,"blue",0.0108653097438475,NA,NA,NA,"blue",NA
381,"green",0.0175800569212751,NA,NA,NA,"green",NA
381,"red",0.00962360260580534,NA,NA,NA,"red",NA
381,"re",0.00737280512377663,NA,NA,NA,"red edge",NA
381,"nir",0.00301713529208226,NA,NA,NA,"near infrared",NA
382,"blue",0.0108513673103173,NA,NA,NA,"blue",NA
382,"green",0.0230809765327936,NA,NA,NA,"green",NA
382,"red",0.00493016447435298,NA,NA,NA,"red",NA
382,"re",0.00359033864983518,NA,NA,NA,"red edge",NA
382,"nir",0.00298293334899979,NA,NA,NA,"near infrared",NA
383,"blue",0.00910918468252417,NA,NA,NA,"blue",NA
383,"green",0.0154121769370604,NA,NA,NA,"green",NA
383,"red",0.00984602316470692,NA,NA,NA,"red",NA
383,"re",0.00809141136551043,NA,NA,NA,"red edge",NA
383,"nir",0.0046466419944344,NA,NA,NA,"near infrared",NA
384,"blue",0.0129149448385813,NA,NA,NA,"blue",NA
384,"green",0.0206971864404842,NA,NA,NA,"green",NA
384,"red",0.00327274554564902,NA,NA,NA,"red",NA
384,"re",0.0180128531539749,NA,NA,NA,"red edge",NA
384,"nir",0.00384506037197291,NA,NA,NA,"near infrared",NA
385,"blue",0.00795274807968082,NA,NA,NA,"blue",NA
385,"green",0.0198065343829577,NA,NA,NA,"green",NA
385,"red",0.0050424157803391,NA,NA,NA,"red",NA
385,"re",0.00325908395577643,NA,NA,NA,"red edge",NA
385,"nir",0.00265310159516889,NA,NA,NA,"near infrared",NA
386,"blue",0.0106969539147737,NA,NA,NA,"blue",NA
386,"green",0.0191079459876462,NA,NA,NA,"green",NA
386,"red",0.00560422493046725,NA,NA,NA,"red",NA
386,"re",0.0112977560264487,NA,NA,NA,"red edge",NA
386,"nir",0.00243742125157497,NA,NA,NA,"near infrared",NA
387,"blue",0.00860978007923063,NA,NA,NA,"blue",NA
387,"green",0.0196064437194127,NA,NA,NA,"green",NA
387,"red",0.00691049325743478,NA,NA,NA,"red",NA
387,"re",0.00994872920593348,NA,NA,NA,"red edge",NA
387,"nir",0.00283489724620335,NA,NA,NA,"near infrared",NA
388,"blue",0.0089759986627935,NA,NA,NA,"blue",NA
388,"green",0.025850835983485,NA,NA,NA,"green",NA
388,"red",0.0078056444350775,NA,NA,NA,"red",NA
388,"re",0.0115715883805808,NA,NA,NA,"red edge",NA
388,"nir",0.00194084543587509,NA,NA,NA,"near infrared",NA
389,"blue",0.00479904240362589,NA,NA,NA,"blue",NA
389,"green",0.0249860957975158,NA,NA,NA,"green",NA
389,"red",0.00395517653838517,NA,NA,NA,"red",NA
389,"re",0.0148398529079246,NA,NA,NA,"red edge",NA
389,"nir",0.00173406306511299,NA,NA,NA,"near infrared",NA
390,"blue",0.00704138415891136,NA,NA,NA,"blue",NA
390,"green",0.021927941221825,NA,NA,NA,"green",NA
390,"red",0.0108120771742139,NA,NA,NA,"red",NA
390,"re",0.0135238764954616,NA,NA,NA,"red edge",NA
390,"nir",0.00340322644575687,NA,NA,NA,"near infrared",NA
391,"blue",0.00747910485500405,NA,NA,NA,"blue",NA
391,"green",0.020517084098336,NA,NA,NA,"green",NA
391,"red",0.00872027780828704,NA,NA,NA,"red",NA
391,"re",0.00620387302692403,NA,NA,NA,"red edge",NA
391,"nir",0.00268476798468582,NA,NA,NA,"near infrared",NA
392,"blue",0.00946913228763386,49.16,0.4916,0.00465502543260081,"blue",0.00791699354498543
392,"green",0.0221116246000711,49.16,0.4916,0.010870074653395,"green",0.0179967718677007
392,"red",0.00623064359079059,49.16,0.4916,0.00306298438923265,"red",0.00657521364068454
392,"re",0.0085303642570695,49.16,0.4916,0.00419352706877537,"red edge",0.0114755560860425
392,"nir",0.00180790960451977,49.16,0.4916,0.000888768361581919,"near infrared",0.00503287639367041
393,"blue",0.00926963607773637,49.705,0.49705,0.00460747261243886,"blue",0.00783611850451168
393,"green",0.0186858157671222,49.705,0.49705,0.00928778472704809,"green",0.0153770924504916
393,"red",0.0094080532090965,49.705,0.49705,0.00467627284758142,"red",0.0100384099648262
393,"re",0.0173226451799246,49.705,0.49705,0.00861022078668152,"red edge",0.0235618060716673
393,"nir",0.00174935556824864,49.705,0.49705,0.000869517185197986,"near infrared",0.00492386172195029
394,"blue",0.00749873837811022,50.249,0.50249,0.0037680410476166,"blue",0.00640846265678803
394,"green",0.018280968811737,50.249,0.50249,0.00918600401820972,"green",0.0152085817221016
394,"red",0.00853722712031968,50.249,0.50249,0.00428987125568944,"red",0.00920893364535108
394,"re",0.0209556641629583,50.249,0.50249,0.0105300116852449,"red edge",0.0288152997939271
394,"nir",0.0019670584519218,50.249,0.50249,0.000988427201506185,"near infrared",0.00559721986555398
395,"blue",0.00726268829230366,50.794,0.50794,0.00368900989119272,"blue",0.00627405111289426
395,"green",0.0113697425626496,50.794,0.50794,0.00577514703727224,"green",0.00956148021483508
395,"red",0.00905172287505101,50.794,0.50794,0.00459773211715341,"red",0.00986980901345504
395,"re",0.0179678901684915,50.794,0.50794,0.00912661013218357,"red edge",0.0249749017306096
395,"nir",0.00147089002359177,50.794,0.50794,0.000747123878583204,"near infrared",0.0042307785630174
396,"blue",0.0059671885373201,51.338,0.51338,0.00306343525128939,"blue",0.00521011054850209
396,"green",0.0121572399438654,51.338,0.51338,0.00624128384238162,"green",0.0103332281566096
396,"red",0.00636339112926872,51.338,0.51338,0.00326683773794398,"red",0.00701281930523111
396,"re",0.00384150130822181,51.338,0.51338,0.00197214994161491,"red edge",0.00539677385978968
396,"nir",0.00199077133709082,51.338,0.51338,0.00102202218903569,"near infrared",0.00578746000797076
397,"blue",0.00383289257214902,51.883,0.51883,0.00198861965320808,"blue",0.00338212737735425
397,"green",0.00823991825143806,51.883,0.51883,0.00427511678639361,"green",0.00707799200702583
397,"red",0.00476418487084112,51.883,0.51883,0.0024718020365385,"red",0.00530614080987576
397,"re",0,51.883,0.51883,0,"red edge",0
397,"nir",0.00168112435375178,51.883,0.51883,0.000872217748457036,"near infrared",0.00493915434673713
398,"blue",0.0062429715325914,52.426,0.52426,0.00327294025567637,"blue",0.00556642434128133
398,"green",0.0118648405784647,52.426,0.52426,0.0062202613216659,"green",0.0102984227370086
398,"red",0.00392377129555806,52.426,0.52426,0.00205707633940927,"red",0.00441586201169042
398,"re",0.00434257159590923,52.426,0.52426,0.00227663658487137,"red edge",0.00622999932723866
398,"nir",0.0016550870320411,52.426,0.52426,0.000867695927417867,"near infrared",0.00491354838758268
399,"blue",0.00376607979790145,52.956,0.52956,0.00199436521777669,"blue",0.00339189909573918
399,"green",0.0131620617756518,52.956,0.52956,0.00697010143391417,"green",0.0115398770846261
399,"red",0.00473127479478601,52.956,0.52956,0.00250549388032688,"red",0.0053784660465423
399,"re",0.00988262046127588,52.956,0.52956,0.00523344049147326,"red edge",0.0143212715449111
399,"nir",0.0017741178339809,52.956,0.52956,0.000939501840162925,"near infrared",0.00532016759096805
400,"blue",0.00530295682411728,53.485,0.53485,0.00283628645737913,"blue",0.00482378923593859
400,"green",0.0113002485766691,53.485,0.53485,0.00604393795123147,"green",0.0100064972835195
400,"red",0.00743360864316546,53.485,0.53485,0.00397586558279705,"red",0.00853486740103319
400,"re",0.0145750790521584,53.485,0.53485,0.00779548103104692,"red edge",0.0213322767022423
400,"nir",0.0014627658624888,53.485,0.53485,0.000782360321552135,"near infrared",0.00443031386341851
401,"blue",0.00619754249321655,53.758,0.53758,0.00333167489350335,"blue",0.00566631675976023
401,"green",0.00933421817019443,53.758,0.53758,0.00501788900393312,"green",0.00830774456852732
401,"red",0.0109808743497846,53.758,0.53758,0.00590309843295721,"red",0.0126719984192958
401,"re",0.00742668813771278,53.758,0.53758,0.00399243900907164,"red edge",0.0109252800845959
401,"nir",0.00183290090027339,53.758,0.53758,0.000985330865968969,"near infrared",0.00557968607980535
402,"blue",0.00421672417894189,54.021,0.54021,0.0022779165687062,"blue",0.00387414656086775
402,"green",0.00553824556597959,54.021,0.54021,0.00299181563719783,"green",0.00495332600830416
402,"red",0.010594238910984,54.021,0.54021,0.00572311380210267,"red",0.0122856309914798
402,"re",0.0171386019664399,54.021,0.54021,0.0092584441682905,"red edge",0.0253356646041008
402,"nir",0.00141233427753396,54.021,0.54021,0.00076295710006662,"near infrared",0.00432043819772561
403,"blue",0.00616582189738672,54.285,0.54285,0.00334711641699638,"blue",0.00569257879497123
403,"green",0.0105036658713991,54.285,0.54285,0.005701915018289,"green",0.00944023542295678
403,"red",0.00448806245717331,54.285,0.54285,0.00243634470487653,"red",0.00523002565511833
403,"re",0.0142158947940833,54.285,0.54285,0.00771709848896812,"red edge",0.021117783450371
403,"nir",0.00206379396758896,54.285,0.54285,0.00112033055530567,"near infrared",0.00634415608007199
404,"blue",0.00557429671129869,54.548,0.54548,0.00304066737007921,"blue",0.00517138827486817
404,"green",0.00713156773139488,54.548,0.54548,0.00389012756612128,"green",0.0064405940691376
404,"red",0.00583940889044952,54.548,0.54548,0.0031852807615624,"red",0.00683774347217032
404,"re",0.0132564800950261,54.548,0.54548,0.00723114476223484,"red edge",0.0197879746391028
404,"nir",0.00169908233157714,54.548,0.54548,0.000926815430228698,"near infrared",0.00524832757523577
405,"blue",0.0043379606076023,54.812,0.54812,0.00237772296823897,"blue",0.00404389141667786
405,"green",0.00640193213547482,54.812,0.54812,0.00350902704209646,"green",0.00580963435559103
405,"red",0.00981417509195573,54.812,0.54812,0.00537934565140277,"red",0.0115476745586424
405,"re",0.0101417372344792,54.812,0.54812,0.00555888901296274,"red edge",0.0152118590384986
405,"nir",0.00153672114468692,54.812,0.54812,0.000842307593825794,"near infrared",0.00476978050572115
406,"blue",0.00521565370685727,55.075,0.55075,0.00287252127905164,"blue",0.00488541529006838
406,"green",0.00792890932454626,55.075,0.55075,0.00436684681049385,"green",0.00722986256631727
406,"red",0.00518287154700649,55.075,0.55075,0.00285446650451382,"red",0.00612759476128392
406,"re",0.00933367776330174,55.075,0.55075,0.00514052302813843,"red edge",0.0140670035875606
406,"nir",0.00114252549539839,55.075,0.55075,0.000629245916590663,"near infrared",0.00356326468888457
407,"blue",0.00639934540909684,55.339,0.55339,0.0035413337559401,"blue",0.00602289222526383
407,"green",0.00744935248396549,55.339,0.55339,0.00412239717110166,"green",0.00682514553045874
407,"red",0.00386871952073305,55.339,0.55339,0.00214091069557846,"red",0.00459582662534612
407,"re",0.00352236394136402,55.339,0.55339,0.00194924098151144,"red edge",0.00533408365838431
407,"nir",0.000827405944833657,55.339,0.55339,0.000457878175811497,"near infrared",0.00259285136806273
408,"blue",0.00403179248956138,55.602,0.55602,0.00224175726004592,"blue",0.00381264893482909
408,"green",0.00502102862030866,55.602,0.55602,0.00279179233346402,"green",0.00462216234289208
408,"red",0.00971791419258474,55.602,0.55602,0.00540335464936097,"red",0.0115992139303182
408,"re",0.00866042895955764,55.602,0.55602,0.00481537171009324,"red edge",0.0131772293890199
408,"nir",0.00105405146988519,55.602,0.55602,0.000586073698285563,"near infrared",0.00331879104674976
409,"blue",0.00405164901436612,55.866,0.55866,0.00226349423836578,"blue",0.00384961790944319
409,"green",0.00767546922388231,55.866,0.55866,0.00428797763661409,"green",0.00709928475751954
409,"red",0.0134367112653035,55.866,0.55866,0.00750655311547445,"red",0.0161140848816914
409,"re",0.00284954238657312,55.866,0.55866,0.00159192534968294,"red edge",0.00435629205093321
409,"nir",0.00112668396984304,55.866,0.55866,0.000629433266592513,"near infrared",0.00356432560581458
410,"blue",0.00517873884156035,56.144,0.56144,0.00290755113520564,"blue",0.00494499200969503
410,"green",0.00433563270709128,56.144,0.56144,0.00243419762706933,"green",0.00403011945843289
410,"red",0.0141880231550805,56.144,0.56144,0.0079657237201884,"red",0.0170997721852669
410,"re",0,56.144,0.56144,0,"red edge",0
410,"nir",0.00179109739720903,56.144,0.56144,0.00100559372268904,"near infrared",0.00569442964816691
411,"blue",0.00378132832080201,56.47,0.5647,0.00213531610275689,"blue",0.00363162007314419
411,"green",0.00471645696039611,56.47,0.5647,0.00266338324553568,"green",0.00440956499329945
411,"red",0.0101754684191967,56.47,0.5647,0.00574608701632038,"red",0.0123349468783076
411,"re",0,56.47,0.5647,0,"red edge",0
411,"nir",0.00184979567960086,56.47,0.5647,0.00104457962027061,"near infrared",0.00591519718682578
412,"blue",0.00621914281071757,56.797,0.56797,0.00353228654220326,"blue",0.00600750525610722
412,"green",0.00623098322779631,56.797,0.56797,0.00353901154389147,"green",0.00585927745884267
412,"red",0.00857638812745335,56.797,0.56797,0.00487113116474968,"red",0.010456706273991
412,"re",0.00638103549387026,56.797,0.56797,0.00362423672945349,"red edge",0.00991769724526525
412,"nir",0.00172550005039508,56.797,0.56797,0.000980032263622894,"near infrared",0.00554968139937372
413,"blue",0.00560701325861459,57.124,0.57124,0.003202950253851,"blue",0.00544738946151798
413,"green",0.00339330754546232,57.124,0.57124,0.0019383930022699,"green",0.00320925272034848
413,"red",0.00803465880510825,57.124,0.57124,0.00458971849583004,"red",0.00985260642096977
413,"re",0.0200484950519443,57.124,0.57124,0.0114525023134727,"red edge",0.0313396886364123
413,"nir",0.000971662975299972,57.124,0.57124,0.000555052758010356,"near infrared",0.00314312710013642
414,"blue",0.00420761490025305,57.451,0.57451,0.00241731683634438,"blue",0.00411123033947219
414,"green",0.003957287437513,57.451,0.57451,0.00227350120572559,"green",0.00376406637902962
414,"red",0.00736464557954448,57.451,0.57451,0.0042310625319041,"red",0.0090826907809787
414,"re",0.0377818592860992,57.451,0.57451,0.0217060559784569,"red edge",0.0593984630842744
414,"nir",0.00117149427987565,57.451,0.57451,0.00067303517873136,"near infrared",0.00381123249832807
415,"blue",0.00414213366805121,57.778,0.57778,0.00239324199072663,"blue",0.00407028525762206
415,"green",0.00435935121515931,57.778,0.57778,0.00251874594509475,"green",0.00417009980261811
415,"red",0.00836887842371237,57.778,0.57778,0.00483537057565253,"red",0.010379940125898
415,"re",0.0320332581098263,57.778,0.57778,0.0185081758706954,"red edge",0.0506474876091662
415,"nir",0.00102175977170076,57.778,0.57778,0.000590352360893265,"near infrared",0.00334302005957876
416,"blue",0.00324513088410652,58.124,0.58124,0.00188619987507807,"blue",0.00320793784088999
416,"green",0.00509264401604641,58.124,0.58124,0.00296004840788682,"green",0.00490073137606759
416,"red",0.0153382663982875,58.124,0.58124,0.00891521396134063,"red",0.0191380134532496
416,"re",0.029124722611845,58.124,0.58124,0.0169284537709088,"red edge",0.046324589662127
416,"nir",0.00118844188078467,58.124,0.58124,0.000690769958787282,"near infrared",0.00391166019101902
417,"blue",0.00364110158449697,58.513,0.58513,0.00213051777013671,"blue",0.00362345935116088
417,"green",0.00470349044508675,58.513,0.58513,0.00275215336413361,"green",0.00455653505781291
417,"red",0.0224404904565458,58.513,0.58513,0.0131306041808386,"red",0.0281870609670032
417,"re",0.0199348673916996,58.513,0.58513,0.0116644889569052,"red edge",0.0319197885323484
417,"nir",0.0010510466889061,58.513,0.58513,0.000614998949079626,"near infrared",0.00348258761984483
418,"blue",0.00368279679851652,58.903,0.58903,0.00216927779823019,"blue",0.00368938012789186
418,"green",0.00361204456695967,58.903,0.58903,0.00212760261127625,"green",0.00352251295793119
418,"red",0.0308191355195887,58.903,0.58903,0.0181533953951033,"red",0.0389693311680659
418,"re",0.020185187028819,58.903,0.58903,0.0118896807155853,"red edge",0.0325360241293687
418,"nir",0.000947319829384936,58.903,0.58903,0.000557999799102609,"near infrared",0.00315981546820341
419,"blue",0.00277415751256749,59.293,0.59293,0.00164488121392664,"blue",0.00279751725129657
419,"green",0.00399750428044923,59.293,0.59293,0.00237024021300676,"green",0.00392422993818267
419,"red",0.0305423047681112,59.293,0.59293,0.0181094487661562,"red",0.0388749923019812
419,"re",0.0204524391813618,59.293,0.59293,0.0121268647638049,"red edge",0.033185076538813
419,"nir",0.00107705463821937,59.293,0.59293,0.000638618006639411,"near infrared",0.00361633652717744
420,"blue",0.00346427326428186,59.683,0.59683,0.00206758221232134,"blue",0.00351642225497557
420,"green",0.0057778825703718,59.683,0.59683,0.003448413654475,"green",0.00570928129050779
420,"red",0.0324873158571391,59.683,0.59683,0.0193894047230163,"red",0.0416226340779586
420,"re",0.0272477234581153,59.683,0.59683,0.016262258791507,"red edge",0.0445015519840614
420,"nir",0.000943124183269812,59.683,0.59683,0.000562884806300922,"near infrared",0.00318747806115118
421,"blue",0.00443667372963979,59.947,0.59947,0.00265965280070717,"blue",0.00452338109855108
421,"green",0.00737409648482565,59.947,0.59947,0.00442054961975843,"green",0.00731877430223506
421,"red",0.0264911044236924,59.947,0.59947,0.0158806223688709,"red",0.034090439765029
421,"re",0.049261270583198,59.947,0.59947,0.0295306538765097,"red edge",0.080810417879658
421,"nir",0.00171175510328445,59.947,0.59947,0.00102614583176593,"near infrared",0.00581081118140367
422,"blue",0.00255072686573074,60.14,0.6014,0.00153400713705047,"blue",0.00260894914062903
422,"green",0.00687026268856357,60.14,0.6014,0.00413177598090213,"green",0.00684067332633426
422,"red",0.0152286820174572,60.14,0.6014,0.00915852936529876,"red",0.0196603310885331
422,"re",0.0641178214561515,60.14,0.6014,0.0385604578237295,"red edge",0.105520410194683
422,"nir",0.0010138441883033,60.14,0.6014,0.000609725894845605,"near infrared",0.00345272761208114
423,"blue",0.00298304234282521,60.334,0.60334,0.00179978876712016,"blue",0.00306097490936083
423,"green",0.00751900185619327,60.334,0.60334,0.00453651457991565,"green",0.00751076883761248
423,"red",0.00853453076432412,60.334,0.60334,0.00514922379134732,"red",0.0110536790950757
423,"re",0.0441365135810374,60.334,0.60334,0.0266293241039831,"red edge",0.072870950223269
423,"nir",0.000854437642377068,60.334,0.60334,0.00051551640715178,"near infrared",0.00291924248010581
424,"blue",0.0028484669666347,60.527,0.60527,0.00172409160089498,"blue",0.00293223361996178
424,"green",0.00675120832236211,60.527,0.60527,0.00408630386127611,"green",0.00676538852937156
424,"red",0.00797160680667224,60.527,0.60527,0.00482497445187451,"red",0.0103576230892471
