Wavlength (nm),Band 1,Band 2,Band 3,Band 5,Band 4
459,0.006869261,0.003193865,0.006995082,0.015779053,0.000632367
460,0.009277791,0.003217496,0.009088118,0.010378712,0.000561673
461,0.013305965,0.003039137,0.013735527,0.006156127,0.00061988
462,0.020114563,0.003133644,0.021167519,0.004369293,0.000551019
463,0.040941776,0.002928783,0.027274923,0.002660821,0.000422739
464,0.067529799,0.003092151,0.020800838,0.002386767,0.000391963
465,0.112373811,0.003357889,0.014757515,0.00224927,0.000388352
466,0.187526326,0.002634905,0.011063726,0.002779835,0.000563724
467,0.357914187,0.002166879,0.009395389,0.002830276,0.000334168
468,0.477303192,0.00166008,0.009632464,0.001925031,0.000435501
469,0.569684181,0.001410924,0.011986498,0.001473376,0.000418433
470,0.631221829,0.001580499,0.018469297,0.001044089,0.000381297
471,0.680749983,0.001559435,0.031478505,0.002159964,0.000271699
472,0.741003648,0.001800419,0.038879457,0.000707777,0.000353445
473,0.767574665,0.001396551,0.029675422,0.001202488,0.000342013
474,0.784097881,0.001118312,0.02032217,0.000691607,0.000466337
475,0.797245788,0.001188507,0.015816622,0.000489769,0.000447465
476,0.826578071,0.002154611,0.017591026,0.00220044,0.000388033
477,0.843471562,0.001724083,0.020519708,0.001899071,0.00059536
478,0.853343011,0.00189488,0.022751193,0.000842715,0.000434973
479,0.850578011,0.001986901,0.019538466,0.001304304,0.00019773
480,0.840740644,0.001421895,0.011558166,0.000547381,0.000316679
481,0.837455545,0.001121899,0.007875828,0.001353441,0.000359071
482,0.831364706,0.001374709,0.006027846,0.000266943,0.000308402
483,0.810002715,0.001678751,0.004853384,0,0.000517996
484,0.78667398,0.001835199,0.004658417,0,0.000498792
485,0.762085791,0.001558064,0.004404048,8.3727E-05,0.00045166
486,0.736679658,0.001554437,0.004840928,0.000494434,0.000390636
487,0.699035448,0.001161549,0.005795994,0.000978903,0.000280651
488,0.677787469,0.00105668,0.006834375,0.000726456,0.000327612
489,0.641397812,0.001216552,0.006473704,0.001525195,0.000438317
490,0.565397293,0.001011695,0.006018037,0.002805966,0.000603853
491,0.37527913,0.001019292,0.00564505,0.00127421,0.001030517
492,0.245613166,0.000621504,0.005444988,0.001423599,0.001348438
493,0.147594854,0.000747929,0.005067492,0.000709596,0.001370231
494,0.084707995,0.001064873,0.004565393,0.000787352,0.001127417
495,0.037456405,0.000997157,0.004484445,0.00148692,0.000510353
496,0.022735476,0.000885413,0.004703759,0.001089051,0.000534326
497,0.014437058,0.001106493,0.005355297,0.00146593,0.00049056
498,0.009919757,0.001263129,0.006066769,0.000537132,0.00042705
499,0.006336945,0.00101345,0.008107158,0.001065611,0.000302299
500,0.004887348,0.001403183,0.010354706,0.00045413,0.000368669
501,0.004159018,0.001314207,0.012213003,0.000453665,0.000400521
502,0.003534704,0.001470457,0.014699284,0.001200145,0.000302795
503,0.003289925,0.001705331,0.016096787,0.001485395,0.000191848
504,0.00351576,0.001432588,0.017489346,0.001181992,0.000361806
505,0.004028134,0.001746185,0.019660814,0.000659605,0.00034031
506,0.003917627,0.000969505,0.028055217,0.000793296,0.000426604
507,0.003212144,0.000880287,0.034091517,0.000429988,0.000543315
508,0.002369667,0.001099503,0.035439291,0.000357504,0.000488151
509,0.001476104,0.001342223,0.026965528,7.08295E-05,0.00035098
510,0.001013252,0.001210887,0.021327474,0.001119953,0.000455146
511,0.000892662,0.001365718,0.018146172,0.000625817,0.000464461
512,0.000925145,0.00165939,0.018637605,0.000138588,0.000437751
513,0.000774964,0.001324571,0.027077458,0.000965641,0.000536774
514,0.000653932,0.001520237,0.034510451,0.000412685,0.00036978
515,0.000515233,0.001731493,0.034192543,0.000340287,0.000256849
516,0.000767104,0.001696397,0.019129178,6.76415E-05,0.000308673
517,0.000642327,0.001656665,0.011137987,0,0.000288532
518,0.000613714,0.001936484,0.006445688,0,0.000307777
519,0.000527826,0.00215201,0.004739201,0.000134249,0.000334464
520,0.00041208,0.002295782,0.003433816,0.000670779,0.000338669
521,0.000510739,0.002822571,0.003552896,0.001730911,0.000354678
522,0.000760095,0.003628043,0.003602371,0.002535865,0.000419576
523,0.000661241,0.006628009,0.003638952,0.007916225,0.000459806
524,0.000436491,0.009165024,0.003502443,0.015742244,0.00056444
525,0.000493183,0.010875119,0.003193427,0.01550278,0.000442462
526,0.000497297,0.010751496,0.003392981,0.009682974,0.000545193
527,0.000532862,0.010732666,0.003578696,0.003472689,0.000553486
528,0.000582992,0.010620083,0.003694941,0.002295334,0.000631968
529,0.00042201,0.010546153,0.004321388,0.001829303,0.000587306
530,0.000457209,0.011375919,0.004000028,0.000721343,0.000618468
531,0.000674378,0.011482278,0.004754557,0.000659798,0.000586577
532,0.000772967,0.011394217,0.005931916,0.000595145,0.000634861
533,0.001139313,0.012548947,0.009635182,0.00189111,0.000876075
534,0.001534192,0.012803483,0.015227767,0.00080598,0.000781432
535,0.001666106,0.013098967,0.019284308,0.001265083,0.000706505
536,0.001195205,0.014350844,0.016394136,0.001831236,0.000705964
537,0.001057658,0.0149033,0.012062167,0.001687294,0.000622993
538,0.001227157,0.015889959,0.009324138,0.001275409,0.00049654
539,0.001194501,0.016576487,0.007533692,0.001446092,0.000557525
540,0.000843957,0.018566513,0.006255497,0.001997003,0.00036194
541,0.000694111,0.020845578,0.006425049,0.002447477,0.000386136
542,0.0005808,0.023829146,0.00645404,0.00254723,0.000257075
543,0.000408351,0.031182846,0.007609922,0.002459598,0.000293019
544,0.000503477,0.040780473,0.008149745,0.002556821,0.000319049
545,0.000528562,0.060084234,0.010301528,0.003317457,0.000290007
546,0.000691215,0.145477323,0.016128498,0.00350591,0.00050983
547,0.0006787,0.285444378,0.020708169,0.003369117,0.000503326
548,0.000703973,0.4894732,0.022052958,0.003772654,0.000515024
549,0.001168957,0.727122325,0.015465816,0.004101438,0.000770564
550,0.001367497,0.786988452,0.010876943,0.003980178,0.001113768
551,0.002033299,0.815785608,0.007387775,0.003058364,0.001785709
552,0.002969822,0.858086696,0.005182983,0.003467194,0.002741504
553,0.002836319,0.873957975,0.004718474,0.002950754,0.002942855
554,0.002301225,0.875863695,0.004353183,0.003301321,0.002785973
555,0.001217728,0.860434118,0.003070096,0.002711883,0.001719189
556,0.00084533,0.850725354,0.002751348,0.00166856,0.00120798
557,0.00080637,0.846072573,0.002915957,0.000920635,0.000803987
558,0.000456051,0.850344027,0.002728518,0.00199649,0.000586818
559,0.000272179,0.85672185,0.002809578,0.001816595,0.000490582
560,0.00029331,0.864690694,0.003066423,0.001869012,0.000392812
561,0.000338127,0.875778156,0.003192809,0.001988781,0.000262544
562,0.000293122,0.881895426,0.003151246,0.001695541,0.000283012
563,0.000274463,0.879657454,0.00339666,0.002484779,0.000313326
564,0.000363607,0.862367376,0.002890889,0.003156823,0.00035092
565,0.000266024,0.828237746,0.002778125,0.003603388,0.000346463
566,0.000227374,0.770889407,0.002751928,0.003497212,0.000321635
567,0.000286572,0.630082818,0.002618792,0.004483848,0.000464035
568,0.000219601,0.497142918,0.002877919,0.008612555,0.000554741
569,0.000194445,0.354545852,0.002839193,0.011562902,0.000566533
570,0.000231119,0.178532863,0.003270781,0.012706192,0.000557049
571,0.000282528,0.103536981,0.00364702,0.00917452,0.000608551
572,0.000303274,0.058827378,0.004192062,0.005651833,0.000567052
573,0.000314374,0.027142828,0.004899873,0.003222518,0.000479996
574,0.000343,0.018086174,0.005114813,0.002708914,0.000564432
575,0.000332404,0.011473788,0.005116165,0.001411979,0.000582675
576,0.000364047,0.00928736,0.007084571,0.001858872,0.000706073
577,0.000339198,0.008071669,0.009619182,0.001409397,0.000786568
578,0.000233087,0.006970616,0.010493916,0.001401663,0.001007463
579,0.000284206,0.006691307,0.008279974,0.001689645,0.00103979
580,0.000379161,0.006427804,0.005514803,0.001902509,0.001228574
581,0.000524066,0.006190872,0.003866081,0.001405252,0.001013032
582,0.000478444,0.006003616,0.003686545,0.001298053,0.000780902
583,0.00059283,0.006144195,0.003657479,0.001185674,0.000748209
584,0.001571217,0.006130868,0.006953618,0.000170495,0.000627347
585,0.002960007,0.006888092,0.011781559,0.001145718,0.001127642
586,0.003476463,0.006711302,0.013919942,0.00085559,0.000758376
587,0.002925072,0.006281298,0.011533579,0.000342599,0.000610741
588,0.002082519,0.005836616,0.0078792,5.67482E-05,0.000633998
589,0.001126711,0.006081961,0.004208665,0.000857327,0.000763806
590,0.000685393,0.006361882,0.002879188,0.000856258,0.000781022
591,0.000772372,0.006784257,0.002561845,0.001986751,0.000820299
592,0.000590776,0.006432987,0.001664501,0.003946144,0.000763182
593,0.000364884,0.006297131,0.00131877,0.006096472,0.000719364
594,0.000285473,0.007119565,0.001093437,0.005469053,0.000565877
595,0.000405823,0.006833063,0.001005247,0.003145901,0.000547762
596,0.000298851,0.006815972,0.000944407,0.001649533,0.000645637
597,0.000204519,0.00700397,0.000826331,0.000651072,0.000657878
598,0.000270407,0.007273711,0.000858116,0.000589748,0.000736146
599,0.000273791,0.007407155,0.00096324,0.001216453,0.000816532
600,0.000172169,0.007465777,0.000901658,0.00046634,0.000749074
601,0.000233049,0.00802292,0.00066272,0.000307707,0.000761275
602,0.000266748,0.008131204,0.000863607,0.000815115,0.000784344
603,0.000235933,0.008779274,0.000894164,0.001263931,0.000753072
604,0.000156973,0.009821324,0.000851905,0.000601436,0.000886544
605,0.000215105,0.011775865,0.000674012,0.000693522,0.001049427
606,0.000278346,0.013026784,0.000616281,0.00029429,0.001147769
607,0.000189066,0.011712231,0.000542015,0.000484239,0.001178038
608,0.000332191,0.009590957,0.000619059,0.001010017,0.001348895
609,0.000202114,0.007700534,0.000625343,4.72284E-05,0.001252135
610,0.000272527,0.005596116,0.00083357,0.000488877,0.00101486
611,0.000272333,0.004309643,0.000523242,8.4484E-05,0.000955916
612,0.000124534,0.003366311,0.000551889,0.000467502,0.00080122
613,0.00021591,0.002803884,0.000469245,0.00079168,0.000819934
614,0.000214827,0.002321017,0.000550928,4.49039E-05,0.000832939
615,0.000245977,0.002091528,0.00070375,0.00041312,0.000923847
616,0.000246196,0.002228249,0.000706306,0.000418356,0.00092739
617,0.000189394,0.001848157,0.0007005,0.000235584,0.000931841
618,0.000196401,0.001951507,0.000609495,0.000284309,0.001004382
619,0.000115373,0.00194989,0.000716013,0.000429179,0.000988507
620,0.000232193,0.001693149,0.000677564,9.55801E-05,0.000863275
621,0.000311029,0.002164611,0.000751236,0.000577969,0.000876272
622,0.000477069,0.001966388,0.000808408,0.000144737,0.000996303
623,0.000704007,0.001887492,0.001035396,0.000537014,0.001133228
624,0.000722838,0.001833761,0.000897423,0,0.001212755
625,0.000638215,0.001805319,0.001004365,0,0.001320539
626,0.000498146,0.002154467,0.001020631,0.000297693,0.001369542
627,0.000265066,0.00188058,0.000784915,0.000499401,0.001312927
628,0.00028304,0.001923132,0.000698994,0.001157656,0.001268889
629,0.000262049,0.002227287,0.00093688,0.000962757,0.00119212
630,0.000286597,0.002106904,0.001034518,0.000302145,0.001101825
631,0.000255849,0.002043232,0.000958027,0,0.001087037
632,0.000310736,0.001981889,0.00068254,0.000358508,0.001042784
633,0.000237019,0.002393683,0.000550331,0.000154856,0.00102584
634,0.000239626,0.002360364,0.001030889,0,0.000813436
635,0.000224079,0.002227735,0.000911354,0,0.000926129
636,0.000368078,0.002652381,0.001118566,0.000528102,0.000941248
637,0.000217384,0.002292097,0.000982554,0.000585567,0.000956658
638,0.000354927,0.002456386,0.001045057,0.00096204,0.000935205
639,0.000402768,0.002162143,0.000820417,0.000802141,0.000867451
640,0.000319461,0.002409643,0.000542859,0.000752892,0.000987219
641,0.000244756,0.00293498,0.000840972,0.000540686,0.001081694
642,0.000454746,0.002706269,0.001132502,0.000544703,0.001106613
643,0.000499351,0.003265375,0.00159653,0.000326675,0.001328866
644,0.000431399,0.003523562,0.001272586,0,0.001434741
645,0.000354144,0.004318587,0.000859978,0.000110155,0.001635474
646,0.000684141,0.004789118,0.001442131,0.000165659,0.001809583
647,0.000686567,0.004916173,0.001353257,0.0006106,0.002303082
648,0.000754643,0.004975848,0.001508793,0.000499245,0.002616278
649,0.000537888,0.005502683,0.001402991,0.000781017,0.00269875
650,0.000424765,0.005884468,0.002082762,0.000503906,0.002432877
651,0.000534551,0.006406858,0.002289452,0,0.00198852
652,0.000429741,0.005857642,0.002493442,0,0.001335529
653,0.000455449,0.005398301,0.003534568,0,0.001125823
654,0.000466676,0.005537172,0.004257331,0.000627657,0.00080013
655,0.000314865,0.005550835,0.004977365,0.001146441,0.000681489
656,0.000378047,0.005461694,0.007089509,0.001210174,0.000430677
657,0.000371916,0.005001193,0.009402348,0.001675222,0.000387546
658,0.00039631,0.004361158,0.014390145,0.001338368,0.000309843
659,0.000350273,0.00422766,0.018980236,0.001460667,0.000338045
660,0.000326648,0.004461324,0.031125841,0.001060131,0.000329796
661,0.00058626,0.004989412,0.04457915,0.001355857,0.000255727
662,0.000322603,0.004571058,0.07932955,0.002080382,0.000303791
663,0.000315667,0.004465332,0.12199753,0.001727881,0.000337736
664,0.000225397,0.004617389,0.190188376,0.001732485,0.000291186
665,0.000410335,0.004683515,0.348288242,0.001262122,0.000274494
666,0.000314382,0.004666441,0.478408917,0.001083512,0.000265475
667,0.000430596,0.004776395,0.647612646,0.001144713,0.00033059
668,0.000278144,0.004580385,0.728132433,0.002242478,0.00030227
669,0.00027414,0.003888533,0.809186072,0.002274505,0.00029508
670,0.00021673,0.004382954,0.846095568,0.001547234,0.000255235
671,0.000386448,0.004399346,0.869977221,0.002059089,0.000311323
672,0.000443684,0.003974303,0.854945232,0.001631334,0.000249139
673,0.000460602,0.004033908,0.807086315,0.001844511,0.000210734
674,0.000558754,0.004039665,0.743720491,0.002038642,0.000318398
675,0.000633453,0.003638646,0.582037576,0.001860653,0.000234839
676,0.000419722,0.00340681,0.432985901,0.00213122,0.000248189
677,0.000596905,0.003684278,0.229082746,0.00238772,0.000262481
678,0.000677374,0.003854999,0.136389813,0.002284209,0.000194756
679,0.000846277,0.004180681,0.061236057,0.002447828,0.00026678
680,0.000786405,0.004467948,0.037041489,0.003202732,0.000205278
681,0.000686995,0.004989843,0.018758833,0.003096411,0.000192514
682,0.000691138,0.005710101,0.012876897,0.001616739,0.000312931
683,0.000443944,0.00605449,0.007706985,0.002184955,0.000346711
684,0.000524938,0.005428661,0.005797809,0.002610497,0.000350756
685,0.00046332,0.005616702,0.004062364,0.002428419,0.000309689
686,0.000311076,0.006553508,0.003702836,0.002021496,0.000210656
687,0.000417079,0.006286702,0.002812922,0.003239757,0.000269057
688,0.000409032,0.006284117,0.002503253,0.003789925,0.00028609
689,0.000451114,0.006289621,0.002211755,0.003715497,0.000371577
690,0.000363973,0.006596784,0.002047703,0.003983731,0.000276132
691,0.000407594,0.006432469,0.001976533,0.002485543,0.000331956
692,0.000398395,0.005736714,0.00155303,0.002722934,0.000294732
693,0.000287705,0.005794864,0.001216972,0.001404882,0.000332513
694,0.000352176,0.00592208,0.001024647,0.003587595,0.000390508
695,0.000439666,0.005980718,0.001009015,0.003455901,0.000389962
696,0.000509652,0.006560503,0.001076428,0.002806564,0.000439526
697,0.000414583,0.007206161,0.001006817,0.003223975,0.000360571
698,0.000465269,0.008223127,0.001577255,0.004243218,0.000329143
699,0.000500509,0.009636989,0.00116168,0.004409814,0.00029014
700,0.000396487,0.010885505,0.00157495,0.004677998,0.000208852
701,0.000415888,0.011566535,0.001577564,0.005671321,0.000361259
702,0.00050255,0.011796228,0.001193236,0.007347802,0.000343375
703,0.000569084,0.010830282,0.001744935,0.010565328,0.000184453
704,0.000399299,0.009865427,0.001167097,0.012723721,0.000250164
705,0.000308541,0.008225142,0.000914596,0.017500453,0.000400188
706,0.000414982,0.006734654,0.000912335,0.022617905,0.000293444
707,0.000531111,0.006106859,0.000687781,0.032562187,0.000314211
708,0.00081712,0.005531685,0.000601111,0.045080908,0.000375526
709,0.001033401,0.003832839,0.000831634,0.071238667,0.000305369
710,0.001005309,0.003733047,0.000872351,0.105229717,0.000344855
711,0.000864359,0.002839597,0.000790039,0.195411315,0.000252859
712,0.000927578,0.002581287,0.000637731,0.360162074,0.000247942
713,0.000944816,0.002369627,0.000765942,0.506366935,0.000273782
714,0.001115977,0.002835393,0.000762291,0.712467652,0.000419235
715,0.000908266,0.002511932,0.001351462,0.794280058,0.000472218
716,0.000744902,0.002089905,0.000803767,0.848948696,0.000528475
717,0.001000866,0.002072468,0.001112702,0.852914629,0.000473609
718,0.000798734,0.001850289,0.000851137,0.855740368,0.000404069
719,0.000822004,0.002365362,0.000713021,0.859682407,0.000392854
720,0.000916231,0.00279223,0.000904007,0.847243379,0.000433811
721,0.001034161,0.002632967,0.001120004,0.790583307,0.000488412
722,0.000934738,0.002380547,0.000976903,0.694961254,0.000382122
723,0.00076235,0.00306061,0.000939342,0.475306038,0.000400848
724,0.000787489,0.003561018,0.00080541,0.321061746,0.000537329
725,0.000472196,0.002886499,0.00114869,0.150743945,0.000371589
726,0.000301668,0.00386443,0.000936253,0.067090318,0.00032018
727,0.000304619,0.004520641,0.000876493,0.039613049,0.000432815
728,0.000466954,0.004582453,0.001092278,0.021542858,0.000312836
729,0.000566927,0.005754081,0.001309415,0.014680947,0.001044359
730,0.000412432,0.006794353,0.000758957,0.007586684,0.000654697
731,0.000576376,0.007622307,0.001030866,0.005815889,0.000427289
732,0.000775623,0.007633245,0.001186663,0.005267942,0.000549069
733,0.000310933,0.007162779,0.001286932,0.004922854,0.000411286
734,0.000277188,0.006381278,0.000939714,0.005622971,0.000314805
735,0.000405018,0.006388269,0.000725552,0.004638848,0.000400877
736,0.00033541,0.006609963,0.000307247,0.004301364,0.000440822
737,0.000562409,0.00617008,0.000421972,0.003207936,0.000472062
738,0.000184101,0.006002522,0.000596502,0.004372127,0.000508589
739,0.000329587,0.005340356,0.000407691,0.003929203,0.000399737
740,0.000352395,0.004433201,0.001031139,0.002101766,0.00040017
741,0.000442495,0.004992946,0.000960999,0.001935777,0.000487794
742,0.000370271,0.005196532,0.000632247,0.002698786,0.000474058
743,0.0001356,0.005185938,0.000922686,0.001867649,0.000741156
744,0.000443751,0.005317504,0.00118917,0.002808723,0.000710953
745,0.000339994,0.006218485,0.000988552,0.002734503,0.000605532
746,0.000337043,0.007894058,0.00062221,0.002674664,0.000474127
747,0.000440371,0.008501974,0.000741223,0.002328136,0.0005225
748,0.000369977,0.01056169,0.00063249,0.002242928,0.000514926
749,0.000642235,0.014316468,0.000840145,0.002371368,0.000386524
750,0.000467939,0.01882409,0.001213874,0.003013567,0.000411521
751,0.000400162,0.021403094,0.000912283,0.002519271,0.000636864
752,0.000135073,0.021994448,0.001216824,0.003469264,0.000551077
753,0.00046733,0.018903497,0.00098396,0.002884835,0.000625343
754,0.000281256,0.013465198,0.000449345,0.003853881,0.000461388
755,0.000346138,0.009587214,0.000910342,0.002750957,0.000647206
756,0.000354558,0.007959967,0.001046878,0.002552539,0.000691108
757,0.000495636,0.005811424,0.001252014,0.002263705,0.000618562
758,0.003032982,0.007386771,0.002913531,0.004699456,0.002861182
759,0.000977814,0.004511833,0.001546918,0.002644799,0.001250728
760,0.000358506,0.003129545,0.001572415,0.001787251,0.000823376
761,0.000235307,0.002646945,0.00103873,0.002960764,0.000712199
762,0.000337392,0.00236597,0.001521941,0.003780017,0.000866794
763,0.000305767,0.002281356,0.001338051,0.004285605,0.00078999
764,0.000272535,0.001730916,0.001429629,0.00433718,0.000810163
765,0.000310206,0.001992749,0.001032837,0.00293834,0.000935949
766,0.000534056,0.002324484,0.000870989,0.004195501,0.000787498
767,0.000388957,0.00227382,0.000764303,0.003512538,0.000687768
768,0.000506502,0.001910553,0.001215192,0.002321685,0.0010557
769,0.000496522,0.001707542,0.000956694,0.003958198,0.001240076
770,0.000574849,0.001573727,0.001106587,0.002509255,0.001113855
771,0.000653007,0.001493622,0.001285953,0.002910996,0.001285338
772,0.000385295,0.000804258,0.001619112,0.00370321,0.001216549
773,0.000334045,0.001376387,0.001009667,0.00336988,0.001135608
774,0.000213565,0.001559724,0.000796551,0.004456566,0.001295287
775,0.000330152,0.001717879,0.000672337,0.004219437,0.001267498
776,0.000317313,0.001553985,0.001508607,0.003873354,0.001566904
