"wavelength_nm","blue","green","red","re","nir"
465,0.129385495925551,0.00376366288583617,0.0214467045465409,0.00416694760443092,0.00148879610541121
466,0.21636465474704,0.00295946330245491,0.0161121064373882,0.00516058733012094,0.00216560866122782
467,0.413819625617825,0.00243888123370048,0.0137111466041087,0.00526522572449243,0.00128643026306375
468,0.553001534282954,0.00187234106891131,0.0140862779318573,0.00358860672451016,0.00168000513183774
469,0.661409590117921,0.00159464457078752,0.0175652969680098,0.00275236440869398,0.00161752772598044
470,0.733971961597151,0.0017890214547974,0.0271065769704176,0.00195339903407256,0.00147621742716838
471,0.79233800847345,0.00176690794029925,0.0462448953448337,0.00404506352093919,0.00105293022143022
472,0.863312780014736,0.00204195040530319,0.057173511850768,0.00132678420013232,0.00137106694945295
473,0.895144224952195,0.0015854513046883,0.0436813586140218,0.00225636378456231,0.00132802042539731
474,0.915307046377704,0.00127081850413964,0.029942872939251,0.00129900792552119,0.00181253305411414
475,0.931549994411505,0.00135188400837114,0.0233267652046716,0.000920791948169543,0.00174085475908379
476,0.966765483962833,0.00245318322453908,0.0259690025769476,0.00414097803422831,0.00151110731602512
477,0.987485239256618,0.00196490763514094,0.0303220248376284,0.00357731708221049,0.00232075650319638
478,1,0.00216163320006484,0.0336517299279686,0.00158896133697456,0.00169718207379535
479,0.997584372202047,0.00226848322555234,0.0289236309397955,0.00246133318249268,0.00077214297635556
480,0.98684753591482,0.00162472371118997,0.0171239445700966,0.0010337937128043,0.0012376464923086
481,0.983789145225212,0.00128297431674749,0.0116778615789176,0.00255820586912546,0.00140446358727522
482,0.977439962154032,0.00157337814141038,0.00894514798199458,0.000504978123720739,0.00120727026649984
483,0.95309601229773,0.00192291552197447,0.00720811517456989,0,0.00202939257947619
484,0.926395314986653,0.00210382050780392,0.00692415469947691,0,0.00195573802085924
485,0.898178794810869,0.00178759013299618,0.00655145627657048,0.000158774473319615,0.00177239188184422
486,0.868937268601675,0.00178487080684574,0.00720717696558678,0.000938370757377907,0.00153416452236062
487,0.825248044059855,0.00133489384533377,0.00863654559484334,0.00185943499209933,0.00110316532946405
488,0.801155046247754,0.001215878683835,0.0101964424379435,0.00138161908657703,0.00128935369064904
489,0.759080053286975,0.00140156992070152,0.00967029608938872,0.00290430061765085,0.00172718053211892
490,0.669962100418517,0.00116699809660827,0.00900073933406602,0.00534976826934492,0.00238241358944748
491,0.445232303592633,0.00117721243239153,0.00845331228166193,0.00243236877593774,0.00407077356781066
492,0.291755452010026,0.000718679313489567,0.0081637759589046,0.00272089054248783,0.00533320044597744
493,0.175538739512747,0.000865936162880282,0.00760714412038437,0.00135790352781213,0.00542606608234059
494,0.100868074034632,0.00123438580187508,0.00686174147918563,0.00150853185624222,0.00446995902608351
495,0.0446568963654634,0.00115730982792214,0.00674835644344683,0.00285237131967056,0.00202592145014205
496,0.0271393200994661,0.00102887953903168,0.00708707177304757,0.00209169934705362,0.00212368927212908
497,0.0172546210801697,0.0012873575426655,0.00807861945498355,0.00281900642342582,0.00195212830056474
498,0.0118702242366186,0.00147139515484869,0.00916309525367873,0.00103417786417945,0.00170147707410541
499,0.0075922127048401,0.00118199207869487,0.0122598142991172,0.0020542020556984,0.00120590983637719
500,0.00586261736211099,0.00163853727016563,0.0156777197599362,0.000876504679223087,0.00147246289831435
501,0.00499142539480766,0.00153539993316227,0.0185004819274525,0.000876042789147291,0.00160047398295553
502,0.00424426196934304,0.00171880022126595,0.0222777902789113,0.00231867028829842,0.001210561011723
503,0.00395230340149874,0.00199432986097572,0.0244078980217504,0.00287119348304569,0.000767381162671736
504,0.00422564088158566,0.00167617162348651,0.0265322298980516,0.00228582911831423,0.00144789834543412
505,0.00484386825473676,0.00204410168030092,0.0298412297259409,0.00127622849630793,0.00136254933177917
506,0.0047133134314184,0.00113547444704291,0.0426033518758204,0.00153565815277004,0.001708902167355
507,0.00386645633680648,0.00103149279600928,0.0517954118148376,0.000832780707261047,0.00217750435953064
508,0.00285325355300967,0.00128876383305189,0.0538598288271355,0.000692611467551225,0.0019570283204311
509,0.00177778998991113,0.0015736636756366,0.0409920161065009,0.000137256710880783,0.00140745744599329
510,0.00122066805515148,0.00142006201045573,0.0324299502689525,0.00217087921431842,0.00182566140348217
511,0.00107566560404218,0.00160204696706282,0.0275995635851359,0.00121337094907324,0.00186349985265366
512,0.00111510682196084,0.00194705843645122,0.028354615028668,0.000268775158000865,0.00175680462101683
513,0.000934326099614127,0.00155459133963412,0.0412051816163168,0.00187322068693931,0.00215475513208414
514,0.000788606336370266,0.00178468851691662,0.0525296887357858,0.000800759478198097,0.00148477440257165
515,0.000621509210093094,0.00203323844748047,0.0520597346806534,0.000660457839243182,0.00103159911847145
516,0.000925567720881843,0.0019925319436618,0.0291324533043793,0.000131317586771642,0.00124005771330848
517,0.000775222957278798,0.00194638512787176,0.0169669484471661,0,0.00115945554209198
518,0.000740794095538409,0.00227545942304148,0.00982036278102036,0,0.00123696321332986
519,0.000637175642560527,0.00252892696555212,0.00722104606481685,0.000260756973411502,0.00134433454517661
520,0.000497485031864189,0.00269806957774747,0.00523241904788211,0.00130297010105904,0.00136132896505372
521,0.000616644012896366,0.00331744809182918,0.00541432991330138,0.00336253034540734,0.00142580213806644
522,0.000917782626537371,0.00426450296668852,0.00549018966857434,0.00492667963373002,0.00168683423890589
523,0.000798477049337433,0.00779129509814306,0.0055463323299376,0.0153807275596631,0.0018487012464732
524,0.000527126853107603,0.0107744929482789,0.00533872239463335,0.0305887751955552,0.00226958622725206
525,0.000595640107230895,0.0127859788293299,0.0048681054738186,0.0301260173867433,0.00177926834144063
526,0.000600651841914536,0.0126415232538354,0.00517267147876511,0.0188179144720079,0.00219253356858915
527,0.000643662393546019,0.0126204500100573,0.00545626010687902,0.00674940255113726,0.00222607182528437
528,0.000704275022691953,0.0124891190411422,0.00563396773228719,0.00446151113864261,0.00254193469319302
529,0.000509795881084035,0.0124020039021045,0.0065890681577712,0.00355562180704666,0.00236225929465621
530,0.0005521226989798,0.0133730778633981,0.00609692665990444,0.00140158368727111,0.00248672469076605
531,0.00081408836567532,0.0134933576669395,0.00724444401916171,0.00128154826743174,0.00235766855421652
532,0.000932260125242158,0.0133777998475357,0.00903021722717289,0.00115492883047363,0.00254943805197606
533,0.00137245596134816,0.0147158924249623,0.01465015539595,0.00366545951829388,0.00351387504023705
